qid	en	ja	p31_types
Q1009535	Culture Day	文化の日	public holiday, public holiday in Japan
Q1355051	Greenery Day	みどりの日	public holiday, public holiday in Japan
Q1355833	Marine Day	海の日	public holiday, public holiday in Japan
Q1139554	subjectivity	主観性	quality
Q26214163	all days of the week	全曜日	range of days of the week
Q10444029	shrine rank	社格	rank
Q16082057	The New Student's Reference Work	新入生のための参考書	reference work
Q34651138			reference work
Q8707	Meiji restoration	明治維新	reform
Q27231	East Asia	東アジア	region
Q11513508	Kasuga	春日	region
Q841336	Central Japan	中日本	region of Japan
Q905661	Northern Japan	北日本	region of Japan
Q905991	Southern Japan	南日本	region of Japan
Q1063689	Eastern Japan	東日本	region of Japan
Q1063946	Western Japan	西日本	region of Japan
Q835568	restoration of imperial rule	王政復古	regulations, restoration
Q188213	state religion	国教	religion
Q13414953	religious denomination	教派	religion or world view
Q108704490	polytheistic religion	多神教の宗教	religion, religion type
Q9163	polytheism	多神教	religious belief, theism
Q1069667	chōzuya	手水舎	religious building
Q3125745	haiden	拝殿	religious building, structure of worship
Q327532	shintai	神体	religious object
Q908077	Association of Shinto Shrines	神社本庁	religious organization
Q11590703	Jinja-cho	神社庁	religious organization
Q11429002	keidai	境内	religious precinct
Q1185686	Human Development Report	人間開発報告書	report
Q105264748	2020 Democracy Index		report
Q110879013	2021 Democracy Index		report
Q37866906	information resource	情報リソース	resource, resource type, source of information
Q11516161	Tsukinami-no-Matsuri	月次祭	rite
Q27218	Kamo River	鴨川	river
Q11443243	Tenjin River	天神川	river
Q34908331	Takami River	高見川	river
Q214339	role	役割	role
Q184377	pronunciation	発音	rule
Q107020554		石清水八幡宮本社 楼門	rōmon
Q140274367	Matsunoo Taisha Sake Museum	松尾大社お酒の資料館	sake museum
Q14790	Ethnologue	エスノローグ	scientific publication
Q159183	Philippine Sea	フィリピン海	sea
Q374040	string-searching algorithm	文字列探索	search algorithm, string algorithm
Q117955056	NDL Search	国立国会図書館サーチ	search engine, web service
Q3959472	Jingū Shikinen Sengū	神宮式年遷宮	sengū, shikinen-sai
Q600590	𝑛-tuple	順序組	sequence, totally ordered set
Q123407493	MediaWiki instance	MediaWikiインスタンス	server instance, wiki
Q234460	text	テキスト	set, type of work, written work
Q3395121	wayside shrine	道端の祠	shrine, small monument
Q11390907	Siege of Hachiman	八幡の戦い	siege
Q187588	social class	社会階級	social group
Q21027609	source of statements in Wikidata	ウィキデータにおける主張の情報源	source of information, source type
Q17495	Universal Postal Union	万国郵便連合	specialized agency of the United Nations
Q376150	International Telecommunication Union	国際電気通信連合	specialized agency of the United Nations, standards organization
Q130958401	Shintō Encyclopedia	神道事典	specialized dictionary
Q56352306	alternative spelling	表記ゆれ	spelling, string, version
Q47735	2002 FIFA World Cup	2002 FIFAワールドカップ	sports season
Q126004612	noh stage	能舞台	stage
Q11606829	Statistics Japan	統計局	statistical service
Q189970	social status	社会的地位	status
Q11536498	ge and shi	格式	statutory law, work
Q35487342	Kibune River	貴船川	stream
Q54506313	GND ID	GND識別子	string, unique identifier
Q24865198	Kasuga utsushi	春日移し	structure relocation
Q8020	The Chicago Manual of Style	シカゴ・マニュアル・オブ・スタイル	style guide, written work
Q5378671	English subjunctive	英語の仮定法	subjunctive
Q3032312	tutelary spirit	守護神	supernatural being
Q318917	fusional language	屈折語	synthetic language, type of language
Q30935892	Onikirimaru	鬼切丸	tachi
Q107020561		石清水八幡宮本社 瑞籬	tamagaki
Q149269	Acer japonicum	ハウチワカエデ	taxon
Q205930	rock ptarmigan	ライチョウ	taxon
Q425900	Green Pheasant	キジ	taxon
Q642906	Plecoglossus altivelis	アユ	taxon
Q714716	Sasakia charonda	オオムラサキ	taxon
Q1144815	Taxus cuspidata	イチイ	taxon
Q5368920	Astragalus sinicus	ゲンゲ	taxon
Q15530181	Chrysanthemum morifolium	キク	taxon
Q12734727	continuous pluperfect		tense
Q5463833	The National Terminology Database for Irish		termbase, website
Q96401497	religious precinct		territory
Q184425	Pacific War	太平洋戦争	theater of war
Q16583225	Nuovo soggettario		thesaurus
Q55810762	06:00		time of day
Q55811413	09:00	09:00	time of day
Q55811431	07:00		time of day
Q55811883	17:00		time of day
Q55811949	18:00	18:00	time of day
Q55812694	20:00		time of day
Q51103327	Thousand Torii Gates	千本鳥居	torii
Q5367188	transfer of sovereignty over Okinawa	沖縄返還	transfer of sovereignty
Q826949	structure relocation	曳家	transport
Q123144581	Kasugataisha Museum	春日大社国宝殿	treasure hall
Q127588655	Kitano Tenmangū Hōmotsuden	北野天満宮宝物殿	treasure hall
Q140274352	Matsunoo Taisha Shinzōkan	松尾大社神像館	treasure hall
Q182814	Antarctic Treaty System	南極条約	treaty
Q186444	Treaty on the Non-Proliferation of Nuclear Weapons	核兵器の不拡散に関する条約	treaty
Q1197271	Treaty of Saint Petersburg	樺太・千島交換条約	treaty
Q7445004	Security Treaty Between the United States and Japan	日本国とアメリカ合衆国との間の安全保障条約	treaty
Q28415786	Three Greats	三大	triad
Q136204043	IdRef corporation or conference record		type of authority record
Q136204045			type of authority record
Q7725634	literary work	文学作品	type of work, type of work of art, work of art, written work
Q56273160	Typhoon Jebi	平成30年台風第21号	typhoon
Q11507109	Three Great Tenjin Shrines	日本三大天神	umbrella term
Q66724591	non-English	非英語	undetermined language
Q1108695	Maruyama Park	円山公園	urban park
Q1186358	Nara Park	奈良公園	urban park
Q106840430	The Chicago Manual of Style (16th edition)	シカゴ・マニュアル・オブ・スタイル (第16版)	version, edition or translation
Q139266603	Shintō Encyclopedia	神道事典 (初版)	version, edition or translation
Q602358	Brockhaus and Efron Encyclopedic Dictionary	ブロックハウス・エフロン百科事典	version, edition or translation
Q867541	Encyclopædia Britannica 11th edition	ブリタニカ百科事典第11版	version, edition or translation
Q2041543	Otto's encyclopedia	オットー百科事典	version, edition or translation
Q15987490	1922 Encyclopædia Britannica	ブリタニカ百科事典1922年版	version, edition or translation
Q19047539	Collier's New Encyclopedia, 1921	コリアーズ新百科事典1921年版	version, edition or translation
Q19077875	The American Cyclopædia	ジ・アメリカン・サイクロペディア	version, edition or translation
Q19219752	Meyers Konversations-Lexikon, 4th edition (1885–1890)	マイヤー会話辞典第4版（1885-1890）	version, edition or translation
Q20078554	Great Soviet Encyclopedia (1926–1947)	ソヴィエト大百科事典 (1926-1947)	version, edition or translation
Q23301814	Archaeology & Language		version, edition or translation
Q28959682	The Chicago Manual of Style (15th edition)		version, edition or translation
Q29584283	Shinto (Infobase Publishing)		version, edition or translation
Q50897150	Dicionario da Real Academia Galega (ed.dixital 2012)		version, edition or translation
Q62024871	UDC: Universal Decimal Classification. Standard edition. Volume 1 - Systematic tables		version, edition or translation
Q66386517	Small Soviet Encyclopedia		version, edition or translation
Q107523790	The Chicago Manual of Style (17th edition)		version, edition or translation
Q114796497			version, edition or translation
Q135052815	The Oxford Style Manual (1st edition)	オックスフォード文体便覧 (初版)	version, edition or translation
Q138824136			version, edition or translation
Q139816217	Seibidō's dictionary of linguistics (1st edition)	現代言語学辞典 (初版)	version, edition or translation
Q140329490		岩波哲学小辞典 (初版)	version, edition or translation
Q101314624	Lean Logic	リーン・ロジック	version, edition or translation, website
Q132068	Infermental		video magazine
Q47183836	Draft History of Qing, volume 158		volume
Q63346110	New History of Yuan, Vol.250		volume
Q85413430			volume
Q85418884	New Book of Tang, Vol.220		volume
Q85435774	History of Yuan, Vol.208		volume
Q123560817	Armenian Soviet Encyclopedia, vol. 1	アルメニア・ソビエト百科事典 第1巻	volume
Q124737633	Armenian Soviet Encyclopedia, vol. 6	アルメニア・ソビエト百科事典 第6巻	volume
Q8663	Korean War	朝鮮戦争	war
Q170314	Second Sino-Japanese War	日中戦争	war
Q178687	First Sino-Japanese War	日清戦争	war
Q32090	lifestyle	生活様式	way of life
Q114785038	official member page	公式会員ページ	web page
Q139986313	Nupedia wiki		wiki
Q138717185	disambiguation page	曖昧さ回避ページ	wiki page
Q137361066	subjective expression of frequency	頻度の主観的表現	word or phrase
Q74834637	adjective-noun	形容詞-名詞	word order, word order between noun and adjective
Q651641	subject–verb–object	SVO型	word order, word order typology
Q1119956	Expo '70	日本万国博覧会	world's fair
Q190502	Japanese writing system	日本語の表記体系	writing system
Q18130932	Traditional Chinese	繁体字中国語	writing system, written Chinese language
Q13414913	Simplified Chinese	簡体字中国語	writing system, written Chinese language, written language
Q11571092	Tokusen Jinmyōchō	特選神名牒	written work
Q11588823	Jinmyōchō Kōshō	神名帳考證	written work
Q11588824	Engishiki Jinmyōchō Studies	神名帳考証	written work
Q1053256	New History of Yuan	新元史	written work
Q1146980	Old Book of Tang	旧唐書	written work
Q19180675	Small Brockhaus and Efron Encyclopedic Dictionary	ブロックハウス・エフロン小百科事典	written work
Q23986557	Wikipedia: The Missing Manual		written work
Q84087675	Dizionario di Storia	歴史辞典	written work
Q105691438	Minamo	ミナモ	yuru-chara
