page_title,qid,xml_file
Takanamino Shrine,Q135040089,Takanamino Shrine.xml
Takane Shrine,Q135039595,Takane Shrine.xml
Takane Shrine (Q135190250),Q135190250,Takane Shrine (Q135190250).xml
Takano Shrine (Q135038803),Q135038803,Takano Shrine (Q135038803).xml
Takano Shrine (Q135039984),Q135039984,Takano Shrine (Q135039984).xml
Takano Shrine (Q135040020),Q135040020,Takano Shrine (Q135040020).xml
Takanono Shrine,Q135040721,Takanono Shrine.xml
Takanono Shrine (Q135039794),Q135039794,Takanono Shrine (Q135039794).xml
Takanono Shrine (Q135039859),Q135039859,Takanono Shrine (Q135039859).xml
Takanono Shrine (Q135040588),Q135040588,Takanono Shrine (Q135040588).xml
Takanono Shrine (Q135040695),Q135040695,Takanono Shrine (Q135040695).xml
Takanukino Shrine,Q135040653,Takanukino Shrine.xml
Takao Iwakura Shrine,Q135194711,Takao Iwakura Shrine.xml
Takao- Shrine,Q135041250,Takao- Shrine.xml
Takaoihakurano Shrine,Q135040221,Takaoihakurano Shrine.xml
Takaoka Sekino Shrine,Q11669562,Takaoka Sekino Shrine.xml
Takaoka Sekino Shrine (Q135194967),Q135194967,Takaoka Sekino Shrine (Q135194967).xml
Takaoka Sekino Shrine (Q135195006),Q135195006,Takaoka Sekino Shrine (Q135195006).xml
Takaoka Shrine,Q135069898,Takaoka Shrine.xml
Takaoka Shrine (Q135194514),Q135194514,Takaoka Shrine (Q135194514).xml
Takaoka Shrine (subsidiary of Oshio Hachimangū),Q135194516,Takaoka Shrine (subsidiary of Oshio Hachimangū).xml
Takaokami Shrine,Q135070217,Takaokami Shrine.xml
Takaoshihime Shrine,Q17225914,Takaoshihime Shrine.xml
Takasaka Shrine,Q135040715,Takasaka Shrine.xml
Takase Shrine (Q3791906),Q3791906,Takase Shrine (Q3791906).xml
Takaseno Shrine,Q135039257,Takaseno Shrine.xml
Takashifune Shrine,Q135069032,Takashifune Shrine.xml
Takashima Shrine,Q135070193,Takashima Shrine.xml
Takashina Shrine,Q135194976,Takashina Shrine.xml
Takashino Shrine,Q11672588,Takashino Shrine.xml
Takasumi Shrine,Q135185060,Takasumi Shrine.xml
Takata Shrine (Q135194027),Q135194027,Takata Shrine (Q135194027).xml
Takatakeno Shrine,Q135041172,Takatakeno Shrine.xml
Takatano Shrine,Q135039911,Takatano Shrine.xml
Takatano Shrine (Q135040553),Q135040553,Takatano Shrine (Q135040553).xml
Takatsumi Shrine,Q17226307,Takatsumi Shrine.xml
Takatsumihimeno Shrine,Q135041279,Takatsumihimeno Shrine.xml
Takatsunono Shrine,Q135038981,Takatsunono Shrine.xml
Takatsunono Shrine (Q135069101),Q135069101,Takatsunono Shrine (Q135069101).xml
Takawokano Shrine,Q135040130,Takawokano Shrine.xml
Takawokano Shrine (Q135039385),Q135039385,Takawokano Shrine (Q135039385).xml
Takaya Shrine,Q11669282,Takaya Shrine.xml
Takayaaheno Shrine,Q135039001,Takayaaheno Shrine.xml
Takayano Shrine,Q135039109,Takayano Shrine.xml
Takayano Shrine (Co-enShrinement),Q135185391,Takayano Shrine (Co-enShrinement).xml
Takayano Shrine (Q135041394),Q135041394,Takayano Shrine (Q135041394).xml
Take Shrine (Q135039274),Q135039274,Take Shrine (Q135039274).xml
Take Shrine (Q135041448),Q135041448,Take Shrine (Q135041448).xml
Take Shrine (Q135200387),Q135200387,Take Shrine (Q135200387).xml
Take- Shrine,Q135041375,Take- Shrine.xml
Takeasa Shrine,Q135069440,Takeasa Shrine.xml
Takebuyama Shrine,Q119929432,Takebuyama Shrine.xml
Takechino Miagata Shrine,Q43594646,Takechino Miagata Shrine.xml
Takeda Shrine (Q135193526),Q135193526,Takeda Shrine (Q135193526).xml
Takefuhikono Shrine,Q135039736,Takefuhikono Shrine.xml
Takefutsu Nishinomiya Shrine,Q48758357,Takefutsu Nishinomiya Shrine.xml
Takefutsu Shrine,Q48758365,Takefutsu Shrine.xml
Takefutsu Shrine (Q135198084),Q135198084,Takefutsu Shrine (Q135198084).xml
Takefutsu Shrine (Q135198086),Q135198086,Takefutsu Shrine (Q135198086).xml
Takefutsuno Shrine,Q135041304,Takefutsuno Shrine.xml
Takehime Shrine,Q135198132,Takehime Shrine.xml
Takehime Shrine (Q65734340),Q65734340,Takehime Shrine (Q65734340).xml
Takehimeno Shrine,Q135039733,Takehimeno Shrine.xml
Takehimeno Shrine (Q135270291),Q135270291,Takehimeno Shrine (Q135270291).xml
Takehira Shrine,Q135192787,Takehira Shrine.xml
Takehiro Shrine,Q135070269,Takehiro Shrine.xml
Takehiro Shrine (Q135070285),Q135070285,Takehiro Shrine (Q135070285).xml
Takehono Shrine,Q135039628,Takehono Shrine.xml
Takeihakatsuno Shrine,Q135040386,Takeihakatsuno Shrine.xml
Takeinatakisayafutsuno Shrine,Q135041240,Takeinatakisayafutsuno Shrine.xml
Takeinatashisayafutsu Shrine,Q135070211,Takeinatashisayafutsu Shrine.xml
Takeishitsukino- Shrine,Q135039651,Takeishitsukino- Shrine.xml
Takeishitsukino- Shrine (Q135270279),Q135270279,Takeishitsukino- Shrine (Q135270279).xml
Takekami Shrine,Q135070280,Takekami Shrine.xml
Takemikakano- Shrine,Q135039639,Takemikakano- Shrine.xml
Takemitsu- Shrine,Q135039926,Takemitsu- Shrine.xml
Takeno Shrine (Q135039526),Q135039526,Takeno Shrine (Q135039526).xml
Takeno Shrine (Q135040919),Q135040919,Takeno Shrine (Q135040919).xml
Takeno Shrine (Q135041309),Q135041309,Takeno Shrine (Q135041309).xml
Takeo Shimokorihiko Shrine,Q30935472,Takeo Shimokorihiko Shrine.xml
Takeo Shimokorihiko Shrine Shimogu,Q135198283,Takeo Shimokorihiko Shrine Shimogu.xml
Takeohoyotono Shrine,Q135039298,Takeohoyotono Shrine.xml
Takeokami Shrine,Q11438318,Takeokami Shrine.xml
Takesasafueno Shrine,Q135039299,Takesasafueno Shrine.xml
Takeshigyomeihoutomiinochihikoshinbetsu Shrine,Q135069832,Takeshigyomeihoutomiinochihikoshinbetsu Shrine.xml
Takeshigyomeihoutomiinochihikoshinbetsu Shrine (Shinano Province),Q135069835,Takeshigyomeihoutomiinochihikoshinbetsu Shrine (Shinano Province).xml
Takeshima Shrine,Q135197919,Takeshima Shrine.xml
Taketano Shrine,Q135039030,Taketano Shrine.xml
Takeuchi Shrine,Q66085129,Takeuchi Shrine.xml
Takewoshimokorihikono Shrine,Q135041484,Takewoshimokorihikono Shrine.xml
Taki Shrine,Q135195079,Taki Shrine.xml
"Taki Shrine (Iwagasaki, Murakami)",Q135195156,"Taki Shrine (Iwagasaki, Murakami).xml"
Taki Shrine (Q11430618),Q11430618,Taki Shrine (Q11430618).xml
Taki Shrine (Q135040476),Q135040476,Taki Shrine (Q135040476).xml
"Taki Shrine (Takane, Murakami)",Q135195167,"Taki Shrine (Takane, Murakami).xml"
"Takihira Shrine, Takehira Shrine",Q134930516,"Takihira Shrine, Takehira Shrine.xml"
Takikino Shrine,Q135041065,Takikino Shrine.xml
Takinami Hachiman Shrine,Q135194769,Takinami Hachiman Shrine.xml
Takinami Shrine (Komatsu City),Q135194767,Takinami Shrine (Komatsu City).xml
Takinami Shrine (Nomi City),Q135194768,Takinami Shrine (Nomi City).xml
Takinamino Shrine,Q135040275,Takinamino Shrine.xml
Takino Shrine,Q135041066,Takino Shrine.xml
Takino Shrine (Q135040500),Q135040500,Takino Shrine (Q135040500).xml
Takinomotono Shrine,Q135039022,Takinomotono Shrine.xml
Takisakamoto Shrine,Q135070341,Takisakamoto Shrine.xml
Takonouheno Shrine,Q135040726,Takonouheno Shrine.xml
Taku Shrine,Q100551246,Taku Shrine.xml
Takuhi Reshi Shrine,Q11430603,Takuhi Reshi Shrine.xml
Takumino Shrine,Q135039505,Takumino Shrine.xml
Takumino Shrine (Q135039508),Q135039508,Takumino Shrine (Q135039508).xml
Takuno Shrine,Q135040943,Takuno Shrine.xml
Takuzudama Shrine,Q11430613,Takuzudama Shrine.xml
Takyonoue Shrine,Q135070081,Takyonoue Shrine.xml
Tamamorono Shrine,Q135039691,Tamamorono Shrine.xml
Tamamorono Shrine (Q135270423),Q135270423,Tamamorono Shrine (Q135270423).xml
Tamanooya Shrine,Q11572730,Tamanooya Shrine.xml
Tamanooya Shrine (Q11572731),Q11572731,Tamanooya Shrine (Q11572731).xml
Tamarakino Shrine,Q135040648,Tamarakino Shrine.xml
Tamasasarahikono Shrine,Q135098997,Tamasasarahikono Shrine.xml
Tamashiki Shrine,Q11572627,Tamashiki Shrine.xml
Tamatsukuri Shrine (Q134930396),Q134930396,Tamatsukuri Shrine (Q134930396).xml
Tamatsukurino Shrine,Q135098985,Tamatsukurino Shrine.xml
Tamatsukuritenmanguu,Q135070094,Tamatsukuritenmanguu.xml
Tamatsukuriyu Shrine,Q135070093,Tamatsukuriyu Shrine.xml
Tamatsurano Shrine,Q135098832,Tamatsurano Shrine.xml
Tamayorihimeno- Shrine,Q135039942,Tamayorihimeno- Shrine.xml
Tameno Shrine,Q135098897,Tameno Shrine.xml
Tamorino Shrine,Q135039249,Tamorino Shrine.xml
Tanabata Shrine (Q11430658),Q11430658,Tanabata Shrine (Q11430658).xml
Tanahatano Shrine,Q135039536,Tanahatano Shrine.xml
Tanaheno Shrine,Q135039434,Tanaheno Shrine.xml
Tanahi Shrine,Q135186784,Tanahi Shrine.xml
Tanahi Shrine (Q135186785),Q135186785,Tanahi Shrine (Q135186785).xml
Tanaka Shrine,Q135193361,Tanaka Shrine.xml
Tanaka Shrine (Fushimi),Q135180033,Tanaka Shrine (Fushimi).xml
Tanaka Shrine (Q135068818),Q135068818,Tanaka Shrine (Q135068818).xml
Tanakano Shrine,Q135040763,Tanakano Shrine.xml
Tanakano Shrine (Q135039608),Q135039608,Tanakano Shrine (Q135039608).xml
Tanakano Shrine (Q135039744),Q135039744,Tanakano Shrine (Q135039744).xml
Tanakurahiko Shrine,Q54153264,Tanakurahiko Shrine.xml
Tanakurahiko Shrine (Q135068876),Q135068876,Tanakurahiko Shrine (Q135068876).xml
Taneno Shrine,Q135040227,Taneno Shrine.xml
Tanino Shrine,Q135195131,Tanino Shrine.xml
Tanino Shrine (Agano),Q135195132,Tanino Shrine (Agano).xml
Tanino Shrine (Niigata),Q135195134,Tanino Shrine (Niigata).xml
Tanishinano Shrine,Q135039919,Tanishinano Shrine.xml
Taniya Shrine,Q117097275,Taniya Shrine.xml
Tarihirino Shrine,Q135041246,Tarihirino Shrine.xml
Tarihirino shrine former site,Q135197969,Tarihirino shrine former site.xml
Tarumi Shrine (Q135070120),Q135070120,Tarumi Shrine (Q135070120).xml
Tarumi Shrine (Q135070128),Q135070128,Tarumi Shrine (Q135070128).xml
Tarumino Shrine,Q135040936,Tarumino Shrine.xml
Tasun Shrine,Q135070265,Tasun Shrine.xml
Tata Shrine,Q135195082,Tata Shrine.xml
Tatano Shrine (Q135040056),Q135040056,Tatano Shrine (Q135040056).xml
Tatano Shrine (Q135040272),Q135040272,Tatano Shrine (Q135040272).xml
Tatano Shrine (Q135040452),Q135040452,Tatano Shrine (Q135040452).xml
Tatano Shrine (Q135040710),Q135040710,Tatano Shrine (Q135040710).xml
Tatatakehorineno- Shrine,Q135041135,Tatatakehorineno- Shrine.xml
Tatehou Shrine,Q135070052,Tatehou Shrine.xml
Tatehou Shrine (Tajima Province),Q135070053,Tatehou Shrine (Tajima Province).xml
Tateiwa Shrine,Q135198123,Tateiwa Shrine.xml
Tateno Shrine,Q135069597,Tateno Shrine.xml
Tateno Shrine (Hitachi Province),Q135069591,Tateno Shrine (Hitachi Province).xml
Tateno Shrine (Kuji district),Q135069592,Tateno Shrine (Kuji district).xml
Tateno Shrine (Q135069336),Q135069336,Tateno Shrine (Q135069336).xml
Tateno Shrine (Q135187172),Q135187172,Tateno Shrine (Q135187172).xml
Tateno Tenjin,Q135187177,Tateno Tenjin.xml
Tateno Tenjin Shrine,Q135187178,Tateno Tenjin Shrine.xml
Tatenuhino Shrine,Q135040617,Tatenuhino Shrine.xml
Tatenuhino Shrine (Q135040520),Q135040520,Tatenuhino Shrine (Q135040520).xml
Tatenuhino Shrine (Q135040657),Q135040657,Tatenuhino Shrine (Q135040657).xml
Tatenui Shrine,Q135195341,Tatenui Shrine.xml
"Tatenui Shrine (Gochu, Miura Village, Ibaraki Prefecture)",Q17211507,"Tatenui Shrine (Gochu, Miura Village, Ibaraki Prefecture).xml"
Tatenui Shrine (subsidiary shrine of Sai Shrine),Q135195342,Tatenui Shrine (subsidiary shrine of Sai Shrine).xml
Tatewino Shrine,Q135040764,Tatewino Shrine.xml
Tatsuchiurano- Shrine,Q135041215,Tatsuchiurano- Shrine.xml
Tatsumi Shrine Osaka,Q11479957,Tatsumi Shrine Osaka.xml
Tatsusaka Shrine,Q135039454,Tatsusaka Shrine.xml
Tatsushima Meoyanomikoto Shrine,Q11486644,Tatsushima Meoyanomikoto Shrine.xml
Tatsutahiko and Tatsutahime Shrines,Q135184979,Tatsutahiko and Tatsutahime Shrines.xml
Tawa Shrine,Q135070321,Tawa Shrine.xml
Tawa Shrine (Q11430645),Q11430645,Tawa Shrine (Q11430645).xml
Tawano Shrine,Q135041306,Tawano Shrine.xml
Tawano Shrine (Q135041385),Q135041385,Tawano Shrine (Q135041385).xml
Tawino Shrine,Q135039154,Tawino Shrine.xml
Tawino Shrine (Q135039346),Q135039346,Tawino Shrine (Q135039346).xml
Tawino Shrine former site,Q135185639,Tawino Shrine former site.xml
Tawomoteno Shrine,Q135040916,Tawomoteno Shrine.xml
Tayu Shrine,Q135195249,Tayu Shrine.xml
Tayu Shrine (Q135195250),Q135195250,Tayu Shrine (Q135195250).xml
Tayuhino Shrine,Q135040105,Tayuhino Shrine.xml
Tayuhino Shrine (Q135040084),Q135040084,Tayuhino Shrine (Q135040084).xml
Tayuno Shrine,Q135040565,Tayuno Shrine.xml
Taza Shrine,Q135069152,Taza Shrine.xml
Taza Shrine (Q135069151),Q135069151,Taza Shrine (Q135069151).xml
Tebayahime Shrine (Lower Shrine),Q135194860,Tebayahime Shrine (Lower Shrine).xml
Tebayahime Shrine (Upper Shrine),Q135194859,Tebayahime Shrine (Upper Shrine).xml
Tehayahimeno Shrine,Q135040304,Tehayahimeno Shrine.xml
Tejikarao Shrine,Q3517214,Tejikarao Shrine.xml
Temino Shrine,Q135040730,Temino Shrine.xml
Ten'ichi Shrine,Q135041164,Ten'ichi Shrine.xml
Tenakahimeno Shrine,Q135041500,Tenakahimeno Shrine.xml
Tenchi Shrine,Q134928007,Tenchi Shrine.xml
Teniwato Shrine,Q135069132,Teniwato Shrine.xml
Tenjin Shrine,Q11443286,Tenjin Shrine.xml
"Tenjin Shrine (Gomei, Kamisato Town)",Q135193372,"Tenjin Shrine (Gomei, Kamisato Town).xml"
"Tenjin Shrine (Miyamachi, Fuchu)",Q135193300,"Tenjin Shrine (Miyamachi, Fuchu).xml"
Tenjin-sha (Q135038808),Q135038808,Tenjin-sha (Q135038808).xml
Tenjin-sha (Q135041207),Q135041207,Tenjin-sha (Q135041207).xml
Tenjin-sha (Q135068874),Q135068874,Tenjin-sha (Q135068874).xml
Tenjin-sha (Q135069148),Q135069148,Tenjin-sha (Q135069148).xml
Tenjin-sha (Q135069291),Q135069291,Tenjin-sha (Q135069291).xml
Tenjin-sha (Q135069344),Q135069344,Tenjin-sha (Q135069344).xml
Tenjin-sha (Q135069387),Q135069387,Tenjin-sha (Q135069387).xml
Tenjin-sha (Q135069390),Q135069390,Tenjin-sha (Q135069390).xml
Tenjin-sha (Q135070203),Q135070203,Tenjin-sha (Q135070203).xml
Tenjin-sha (Q135070214),Q135070214,Tenjin-sha (Q135070214).xml
Tenjin-sha (Q135070307),Q135070307,Tenjin-sha (Q135070307).xml
Tenjin-sha (Q135187190),Q135187190,Tenjin-sha (Q135187190).xml
Tenjin-sha (Q135187224),Q135187224,Tenjin-sha (Q135187224).xml
Tenjin-sha (Q135190111),Q135190111,Tenjin-sha (Q135190111).xml
Tenjin-sha (Q135197896),Q135197896,Tenjin-sha (Q135197896).xml
Tenjin-sha (Q70725130),Q70725130,Tenjin-sha (Q70725130).xml
Tenjinnomori,Q135069397,Tenjinnomori.xml
Tenkoyasaka Shrine,Q135070281,Tenkoyasaka Shrine.xml
Tenman Shrine,Q135194022,Tenman Shrine.xml
Tenman Shrine (Q135069124),Q135069124,Tenman Shrine (Q135069124).xml
Tenman Shrine (Q135195233),Q135195233,Tenman Shrine (Q135195233).xml
Tenman Shrine (reference),Q135194759,Tenman Shrine (reference).xml
Tenman Shrine (Takayama),Q11442855,Tenman Shrine (Takayama).xml
Tenmangū (Q135069593),Q135069593,Tenmangū (Q135069593).xml
Tenmansha,Q11442850,Tenmansha.xml
Tenmoku Shrine,Q135069352,Tenmoku Shrine.xml
Tenmurakumo Shrine,Q135070294,Tenmurakumo Shrine.xml
Tenno-miya Tate Shrine,Q135198098,Tenno-miya Tate Shrine.xml
Tenno-miya Tate Shrine (Q135198105),Q135198105,Tenno-miya Tate Shrine (Q135198105).xml
Tennougu Ootoshi Shrine,Q11442961,Tennougu Ootoshi Shrine.xml
Tensekimonbetsuankokutamashutenjin Shrine,Q135070343,Tensekimonbetsuankokutamashutenjin Shrine.xml
Tensekimonbetsuankokutamashutenjin Shrine (Tosa Province),Q135070344,Tensekimonbetsuankokutamashutenjin Shrine (Tosa Province).xml
Terano- Shrine,Q135039649,Terano- Shrine.xml
Teranomikoto Shrine,Q134930636,Teranomikoto Shrine.xml
Tetanino Shrine,Q135040622,Tetanino Shrine.xml
Tetanino Shrine (Q135040643),Q135040643,Tetanino Shrine (Q135040643).xml
Toba Shrine,Q11602727,Toba Shrine.xml
Tobisawa Shrine,Q135069887,Tobisawa Shrine.xml
Tochiwino Shrine,Q135040199,Tochiwino Shrine.xml
Tofu Shrine,Q135194543,Tofu Shrine.xml
Tofuno Shrine,Q135040145,Tofuno Shrine.xml
Toga Shrine (Q17229311),Q17229311,Toga Shrine (Q17229311).xml
Toi Shrine,Q119929626,Toi Shrine.xml
Tokano- Shrine,Q135040606,Tokano- Shrine.xml
Tokari Shrine,Q135194762,Tokari Shrine.xml
Tokari Shrine (Q11396948),Q11396948,Tokari Shrine (Q11396948).xml
Tokarino Shrine,Q135039108,Tokarino Shrine.xml
Tokarino Shrine (Q135040262),Q135040262,Tokarino Shrine (Q135040262).xml
Tomari Shrine,Q130689009,Tomari Shrine.xml
Tomi Shrine (Q11602724),Q11602724,Tomi Shrine (Q11602724).xml
Tomichirokutokoroasama Shrine,Q135069413,Tomichirokutokoroasama Shrine.xml
Tomoeno Shrine,Q135039484,Tomoeno Shrine.xml
Tomomaegami Shrine,Q135070124,Tomomaegami Shrine.xml
Tomouchi-sha (Kitano Tenmangu Setsumatsusha),Q135178095,Tomouchi-sha (Kitano Tenmangu Setsumatsusha).xml
Tomoyuhino Shrine,Q135039880,Tomoyuhino Shrine.xml
Tona- Shrine,Q135040044,Tona- Shrine.xml
Tonano Shrine,Q135040162,Tonano Shrine.xml
Tono Shrine,Q21655262,Tono Shrine.xml
Tono Shrine (Serikawa Town),Q135195063,Tono Shrine (Serikawa Town).xml
Tono Shrine (Yoitamachi Town),Q135195062,Tono Shrine (Yoitamachi Town).xml
Torakashiwa Shrine,Q135039730,Torakashiwa Shrine.xml
Toriiteno Shrine,Q135039411,Toriiteno Shrine.xml
Toriya Shrine,Q135040006,Toriya Shrine.xml
Toriya Shrine (Q135194362),Q135194362,Toriya Shrine (Q135194362).xml
Toriyahikono Shrine,Q135040318,Toriyahikono Shrine.xml
Toriyamineno Shrine,Q135040048,Toriyamineno Shrine.xml
Toriyano Shrine,Q135041048,Toriyano Shrine.xml
Toriya‑zaki Shrine,Q135194360,Toriya‑zaki Shrine.xml
Torokuno Shrine,Q135039600,Torokuno Shrine.xml
Tosakano Shrine,Q135039241,Tosakano Shrine.xml
Toshi Shrine,Q118105171,Toshi Shrine.xml
Toshita Shrine,Q135186596,Toshita Shrine.xml
Toshita Shrine (Q135186603),Q135186603,Toshita Shrine (Q135186603).xml
Toshitano Shrine,Q135039332,Toshitano Shrine.xml
Totorino Shrine,Q135039437,Totorino Shrine.xml
Totorinoyamatano Shrine,Q135039436,Totorinoyamatano Shrine.xml
Totowino Shrine,Q135040038,Totowino Shrine.xml
Tottori Shrine,Q135186789,Tottori Shrine.xml
Tottori Shrine (Q135186790),Q135186790,Tottori Shrine (Q135186790).xml
Toyamano Shrine,Q135039518,Toyamano Shrine.xml
Toyohime Shrine,Q135070348,Toyohime Shrine.xml
Toyohime Shrine (Chikugo Province),Q135070350,Toyohime Shrine (Chikugo Province).xml
Toyohimeno Shrine,Q135041475,Toyohimeno Shrine.xml
Toyohimeno- Shrine,Q135041483,Toyohimeno- Shrine.xml
Toyoikatsuchino- Shrine,Q135098968,Toyoikatsuchino- Shrine.xml
Toyokuni Shrine (Q48758383),Q48758383,Toyokuni Shrine (Q48758383).xml
Toyono Shrine,Q135040714,Toyono Shrine.xml
Toyooka Kami Tenjinsha,Q22119690,Toyooka Kami Tenjinsha.xml
Toyotamahime Shrine,Q135070303,Toyotamahime Shrine.xml
Toyotsumino Shrine,Q135039631,Toyotsumino Shrine.xml
Toyoyuki Shrine,Q119929613,Toyoyuki Shrine.xml
Toyozumi Shrine,Q18337536,Toyozumi Shrine.xml
Tsubaki Grand Shrine,Q3541617,Tsubaki Grand Shrine.xml
Tsubaki Shrine,Q11643733,Tsubaki Shrine.xml
Tsubaki Shrine (Iino Shrine goshi),Q135186720,Tsubaki Shrine (Iino Shrine goshi).xml
Tsubaki Ō Shrine Betsugu Tsubakigishi Shrine,Q135186754,Tsubaki Ō Shrine Betsugu Tsubakigishi Shrine.xml
Tsubakikishi Shrine,Q135186753,Tsubakikishi Shrine.xml
Tsuchi-no-Miya Shrine (sessha of Shinmei-sha),Q135194684,Tsuchi-no-Miya Shrine (sessha of Shinmei-sha).xml
Tsuchifutano Shrine,Q135040468,Tsuchifutano Shrine.xml
Tsuchinowano Shrine,Q135040186,Tsuchinowano Shrine.xml
Tsuda Shrine,Q135186205,Tsuda Shrine.xml
Tsuda Shrine (Q135186275),Q135186275,Tsuda Shrine (Q135186275).xml
Tsuda Shrine (Q135186401),Q135186401,Tsuda Shrine (Q135186401).xml
Tsufukumino Shrine,Q135039119,Tsufukumino Shrine.xml
Tsuhakichino- Shrine,Q135040734,Tsuhakichino- Shrine.xml
Tsuhakikishino Shrine,Q135039399,Tsuhakikishino Shrine.xml
Tsuhakino Shrine,Q135098956,Tsuhakino Shrine.xml
Tsuhakino Shrine (Q135039849),Q135039849,Tsuhakino Shrine (Q135039849).xml
Tsuhanamino Shrine,Q135040736,Tsuhanamino Shrine.xml
Tsuharano Shrine,Q135039120,Tsuharano Shrine.xml
Tsuheshirono Shrine,Q135040904,Tsuheshirono Shrine.xml
Tsukada Mishima Shrine,Q135193352,Tsukada Mishima Shrine.xml
Tsukanakino Shrine,Q135038989,Tsukanakino Shrine.xml
Tsukarino Shrine,Q135040990,Tsukarino Shrine.xml
Tsukenoyamakuchino Shrine,Q135039038,Tsukenoyamakuchino Shrine.xml
Tsuki Shrine,Q11631781,Tsuki Shrine.xml
Tsukima Shrine,Q134925870,Tsukima Shrine.xml
Tsukima Shrine (Q135192901),Q135192901,Tsukima Shrine (Q135192901).xml
Tsukino Shrine,Q135039894,Tsukino Shrine.xml
Tsukisano Shrine,Q135041287,Tsukisano Shrine.xml
"Tsukita Shrine (Aramachi, Sanjo)",Q135195115,"Tsukita Shrine (Aramachi, Sanjo).xml"
"Tsukita Shrine (Tsukioka, Sanjo)",Q135195114,"Tsukita Shrine (Tsukioka, Sanjo).xml"
Tsukitano Shrine,Q135040459,Tsukitano Shrine.xml
Tsukiwori Shrine,Q135040728,Tsukiwori Shrine.xml
Tsukiyama Shrine,Q135040053,Tsukiyama Shrine.xml
Tsukiyomi Aramitama Shrine,Q135186074,Tsukiyomi Aramitama Shrine.xml
Tsukiyomi Shrine,Q11516219,Tsukiyomi Shrine.xml
Tsukiyomi Shrine (Q54153263),Q54153263,Tsukiyomi Shrine (Q54153263).xml
Tsukiyomino Shrine,Q135039262,Tsukiyomino Shrine.xml
Tsukubasan Shrine,Q11602876,Tsukubasan Shrine.xml
Tsukuyomi Shrine,Q135041492,Tsukuyomi Shrine.xml
Tsumatsuhime Shrine,Q17216259,Tsumatsuhime Shrine.xml
Tsumatsuhime Shrine (Hirao),Q135198027,Tsumatsuhime Shrine (Hirao).xml
Tsumatsuhimeno Shrine,Q135041276,Tsumatsuhimeno Shrine.xml
Tsumorino Shrine,Q135039584,Tsumorino Shrine.xml
Tsumushino Shrine,Q135041024,Tsumushino Shrine.xml
Tsunakoshino Shrine,Q135098833,Tsunakoshino Shrine.xml
Tsunakoshino Shrine (Q135040226),Q135040226,Tsunakoshino Shrine (Q135040226).xml
Tsunemiya Shrine,Q135194520,Tsunemiya Shrine.xml
Tsuneno Shrine,Q135040095,Tsuneno Shrine.xml
Tsuno Shrine,Q3541675,Tsuno Shrine.xml
"Tsuno Shrine (Imazu Town, Kakugawa)",Q135193768,"Tsuno Shrine (Imazu Town, Kakugawa).xml"
"Tsuno Shrine (Imazu Town, Kita-aso)",Q135193767,"Tsuno Shrine (Imazu Town, Kita-aso).xml"
Tsuno Shrine (Q135040443),Q135040443,Tsuno Shrine (Q135040443).xml
Tsuno Shrine (Q135041514),Q135041514,Tsuno Shrine (Q135041514).xml
Tsunoheno Shrine,Q135041505,Tsunoheno Shrine.xml
Tsunomiya Shrine,Q135198632,Tsunomiya Shrine.xml
Tsunono Shrine,Q135039881,Tsunono Shrine.xml
Tsunosakuhikono Shrine,Q135039583,Tsunosakuhikono Shrine.xml
Tsunotsu Otoshi Shrine,Q135197720,Tsunotsu Otoshi Shrine.xml
Tsunou Shrine,Q11556457,Tsunou Shrine.xml
Tsurugi Shrine (Nyu District),Q135194504,Tsurugi Shrine (Nyu District).xml
Tsurugi Shrine (Q135069896),Q135069896,Tsurugi Shrine (Q135069896).xml
Tsurugi Shrine (Q135070085),Q135070085,Tsurugi Shrine (Q135070085).xml
Tsurugi Shrine (Q135194558),Q135194558,Tsurugi Shrine (Q135194558).xml
Tsurugi Shrine (Q135195041),Q135195041,Tsurugi Shrine (Q135195041).xml
Tsurugi Shrine (Tsuruga City),Q135194505,Tsurugi Shrine (Tsuruga City).xml
Tsuruginushi Shrine,Q135069105,Tsuruginushi Shrine.xml
Tsurugiryuujin Shrine,Q135069889,Tsurugiryuujin Shrine.xml
Tsurugishushin Shrine (Uda district),Q135069106,Tsurugishushin Shrine (Uda district).xml
Tsurugishushin Shrine (Yamato Province),Q135069107,Tsurugishushin Shrine (Yamato Province).xml
Tsurugitachi Iwato Kowake No Mikoto Shrine,Q17229202,Tsurugitachi Iwato Kowake No Mikoto Shrine.xml
Tsuruha Shrine,Q135070323,Tsuruha Shrine.xml
Tsurukano Shrine,Q135098987,Tsurukano Shrine.xml
Tsurukino Shrine,Q135040101,Tsurukino Shrine.xml
Tsurukinushino Shrine,Q135038987,Tsurukinushino Shrine.xml
"Tsurumi Shrine (Tsurumi Ward, Yokohama)",Q135193289,"Tsurumi Shrine (Tsurumi Ward, Yokohama).xml"
Tsurumino Shrine,Q135039145,Tsurumino Shrine.xml
Tsuruyumishimano Shrine,Q135039135,Tsuruyumishimano Shrine.xml
Tsushimabeno Shrine,Q135039129,Tsushimabeno Shrine.xml
Tsutono Shrine,Q135041126,Tsutono Shrine.xml
Tsutsuchi Shrine,Q135200405,Tsutsuchi Shrine.xml
Tsutsuchino Shrine,Q135041556,Tsutsuchino Shrine.xml
Tsutsumi Shrine,Q11581127,Tsutsumi Shrine.xml
Tsutsumiharino Shrine,Q135039479,Tsutsumiharino Shrine.xml
